#,type,is_trade,freq,day_count,ticker,ric_leg2,roll_rules,tcost,country,settle_d,freq_leg2,ric,ric_root,src,tenor,ccy,roll_conv,fix_cal,calc_cal,_update,curve_name,reset,fpml,roll,lag,pms_index,is_inverted,multiplier,cal
1,BMK,1,,Act/Act,GTAUD10Y Govt,,,0,AU,2,,AU10YT=RR,AUBMK=,TR,10Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
2,BMK,0,,Act/Act,GTAUD12Y Govt,,,0,AU,1,,AU12YT=RR,AUBMK=,TR,12Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
3,BMK,0,,Act/Act,GTAUD15Y Govt,,,0,AU,1,,AU15YT=RR,AUBMK=,TR,15Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
4,FIX,0,,Act/365,BBSW1M Index,,,0,AU,1,,AU1MBA=,AUBA=,TR,1M,AUD,back_eom,AU,AU,2022-05-12 12:47:16,BBRBBSW,0,AUD-BBR-BBSW,,1,AUD-BBR-BBSW_1M,0,1,AU
5,BMK,0,,Act/Act,GTAUD1Y Govt,,,0,AU,1,,AU1YT=RR,AUBMK=,TR,1Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
6,BMK,0,,Act/Act,GTAUD20Y Govt,,,0,AU,1,,AU20YT=RR,AUBMK=,TR,20Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
7,FIX,0,,Act/365,BBSW2M Index,,,0,AU,1,,AU2MBA=,AUBA=,TR,2M,AUD,back_eom,AU,AU,2022-05-12 12:47:16,BBRBBSW,0,AUD-BBR-BBSW,,1,AUD-BBR-BBSW_2M,0,1,AU
8,BMK,0,,Act/Act,GTAUD2Y Govt,,,0,AU,1,,AU2YT=RR,AUBMK=,TR,2Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
9,BMK,0,,Act/Act,GTAUD30Y Govt,,,0,AU,1,,AU30YT=RR,AUBMK=,TR,30Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
10,FIX,0,,Act/365,BBSW3M Index,,,0,AU,1,,AU3MBA=,AUBA=,TR,3M,AUD,back_eom,AU,AU,2022-05-12 12:47:16,BBRBBSW,1,AUD-BBR-BBSW,,1,AUD-BBR-BBSW_3M,0,1,AU
11,BMK,0,,Act/Act,GTAUD3Y Govt,,,0,AU,1,,AU3YT=RR,AUBMK=,TR,3Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
12,BMK,0,,Act/Act,GTAUD4Y Govt,,,0,AU,1,,AU4YT=RR,AUBMK=,TR,4Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
13,BMK,1,,Act/Act,GTAUD5Y Govt,,,0,AU,1,,AU5YT=RR,AUBMK=,TR,5Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
14,FIX,0,,Act/365,BBSW6M Index,,,0,AU,1,,AU6MBA=,AUBA=,TR,6M,AUD,back_eom,AU,AU,2022-05-12 12:47:16,BBRBBSW,1,AUD-BBR-BBSW,,1,AUD-BBR-BBSW_6M,0,1,AU
15,BMK,0,,Act/Act,GTAUD6Y Govt,,,0,AU,1,,AU6YT=RR,AUBMK=,TR,6Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
16,BMK,0,,Act/Act,GTAUD7Y Govt,,,0,AU,1,,AU7YT=RR,AUBMK=,TR,7Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
17,BMK,0,,Act/Act,GTAUD8Y Govt,,,0,AU,1,,AU8YT=RR,AUBMK=,TR,8Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
18,BMK,0,,Act/Act,GTAUD9Y Govt,,,0,AU,1,,AU9YT=RR,AUBMK=,TR,9Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
19,FIX,0,,Act/365,RBACOR Index,,,0,AU,1,,AUCASH=RBAA,AUCASH=RBAA,TR,ON,AUD,back_eom,AU,AU,2022-05-12 12:47:16,AONIA,0,AUD-AONIA-OIS-COMPOUND,,0,AUD AONIA CMP,0,1,AU
20,ILS,1,2,1/1,AUSWIT10 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ10Y=TWEB,AUCPIZILS=TWEB,TWEB,10Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
21,ILS,0,2,1/1,AUSWIT12 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ12Y=TWEB,AUCPIZILS=TWEB,TWEB,12Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
22,ILS,0,2,1/1,AUSWIT15 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ15Y=TWEB,AUCPIZILS=TWEB,TWEB,15Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
23,ILS,0,2,1/1,AUSWIT1 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ1Y=TWEB,AUCPIZILS=TWEB,TWEB,1Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
24,ILS,0,2,1/1,AUSWIT20 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ20Y=TWEB,AUCPIZILS=TWEB,TWEB,20Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
25,ILS,0,2,1/1,AUSWIT25 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ25Y=TWEB,AUCPIZILS=TWEB,TWEB,25Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
26,ILS,0,2,1/1,AUSWIT2 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ2Y=TWEB,AUCPIZILS=TWEB,TWEB,2Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
27,ILS,0,2,1/1,AUSWIT30 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ30Y=TWEB,AUCPIZILS=TWEB,TWEB,30Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
28,ILS,0,2,1/1,AUSWIT3 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ3Y=TWEB,AUCPIZILS=TWEB,TWEB,3Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
29,ILS,0,2,1/1,AUSWIT4 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ4Y=TWEB,AUCPIZILS=TWEB,TWEB,4Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
30,ILS,1,2,1/1,AUSWIT5 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ5Y=TWEB,AUCPIZILS=TWEB,TWEB,5Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
31,ILS,0,2,1/1,AUSWIT25 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ6Y=TWEB,AUCPIZILS=TWEB,TWEB,6Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
32,ILS,0,2,1/1,AUSWIT7 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ7Y=TWEB,AUCPIZILS=TWEB,TWEB,7Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
33,ILS,0,2,1/1,AUSWIT8 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ8Y=TWEB,AUCPIZILS=TWEB,TWEB,8Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
34,ILS,0,2,1/1,AUSWIT9 Curncy,AUCPI=ECI,,0,AU,2,4,AUCPIZ9Y=TWEB,AUCPIZILS=TWEB,TWEB,9Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,,0,,,0,,0,1,AU
35,FXFWD,0,,,AUD10M Curncy,,,0,AU,1,,AUD10M=,AUDFWD=,TR,10M,AUD,back_eom,AU,"",2022-05-12 12:47:16,,0,,,0,,1,10000,""
36,OIS,0,1,Act/365,ADSOJ Curncy,AUCASH=RBAA,,0,AU,1,1,AUD10MOIS=,AUDOIS=,TR,10M,AUD,back_eom,AU,AU,2022-05-12 12:48:13,AONIA,0,AUD-AONIA-OIS-COMPOUND,,0,AUD AONIA CMP,0,1,"AU,YIN"
37,OIS,0,1,Act/365,ADSOJ Curncy,AUCASH=RBAA,,0,AU,1,1,AUD10MOIS=TWEB,AUDOIS=TWEB,TWEB,10M,AUD,back_eom,AU,AU,2022-05-12 12:47:16,AONIA,0,AUD-AONIA-OIS-COMPOUND,,0,AUD AONIA CMP,0,1,"AU,YIN"
38,OIS,0,1,Act/365,ADSOJ Curncy,AUCASH=RBAA,,0,AU,1,1,AUD10MOIS=YIN,AUDOIS=YIN,YIN-L,10M,AUD,back_eom,AU,AU,2022-05-12 12:47:16,AONIA,0,AUD-AONIA-OIS-COMPOUND,,0,AUD AONIA CMP,0,1,"AU,YIN"
39,FXFWD,0,,,AUD10Y Curncy,,,0,AU,1,,AUD10Y=,AUDFWD=,TR,10Y,AUD,back_eom,AU,"",2022-05-12 12:47:16,,0,,,0,,1,10000,""
40,IMM,1,2,Act/365,AUC60040 Curncy,AU6MBA=,5,0.75,AU,1,2,AUD10YIM1=YIN,AUDIMM1=YIN,YIN,10Y,AUD,back_eom,AU,AU,2022-05-12 12:47:16,BBRBBSW,0,AUD-BBR-BBSW,IMM,0,AUD-BBR-BBSW_6M,0,1,"AU,YIN"
